"No.","Time","Source","Destination","Protocol","Length","Info"
"595","60.713562456","192.168.1.10","192.168.1.20","TCP","66","55178  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450141726 TSecr=524509214"
"596","60.714707359","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"597","60.727197575","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"598","60.730435493","192.168.1.10","192.168.1.20","TCP","66","55178  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450141743 TSecr=524509228"
"599","60.730931679","192.168.1.20","192.168.1.10","TCP","66","44818  >  55178 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524509232 TSecr=1450141743"
"600","60.730957111","192.168.1.10","192.168.1.20","TCP","66","55178  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450141744 TSecr=524509232"
"601","62.192727215","192.168.1.10","192.168.1.20","TCP","74","55190  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450143205 TSecr=0 WS=512"
"602","62.192745995","192.168.1.20","192.168.1.10","TCP","74","44818  >  55190 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524510693 TSecr=1450143205 WS=512"
"603","62.192756829","192.168.1.10","192.168.1.20","TCP","66","55190  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450143205 TSecr=524510693"
"604","62.218340337","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"605","62.218353448","192.168.1.20","192.168.1.10","TCP","66","44818  >  55190 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524510719 TSecr=1450143231"
"606","62.221461342","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xEC6CE0D1"
"607","62.221488759","192.168.1.10","192.168.1.20","TCP","66","55190  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450143234 TSecr=524510722"
"608","62.222736661","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"609","62.235129637","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"610","62.238352489","192.168.1.10","192.168.1.20","TCP","66","55190  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450143251 TSecr=524510736"
"611","62.238874018","192.168.1.20","192.168.1.10","TCP","66","44818  >  55190 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524510740 TSecr=1450143251"
"612","62.238899941","192.168.1.10","192.168.1.20","TCP","66","55190  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450143252 TSecr=524510740"
"613","63.432333599","192.168.1.10","192.168.1.20","TCP","74","55194  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450144445 TSecr=0 WS=512"
"614","63.432351661","192.168.1.20","192.168.1.10","TCP","74","44818  >  55194 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524511933 TSecr=1450144445 WS=512"
"615","63.432363394","192.168.1.10","192.168.1.20","TCP","66","55194  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450144445 TSecr=524511933"
"616","63.458571571","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"617","63.458587253","192.168.1.20","192.168.1.10","TCP","66","44818  >  55194 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524511959 TSecr=1450144471"
"618","63.461738888","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0xD69C55E8"
"619","63.461766453","192.168.1.10","192.168.1.20","TCP","66","55194  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450144474 TSecr=524511962"
"620","63.463027860","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
"621","63.476038195","192.168.1.20","192.168.1.10","CIP","116","Success: 'FIT201:2' - Service (0x4c)"
"622","63.479786308","192.168.1.10","192.168.1.20","TCP","66","55194  >  44818 [FIN, ACK] Seq=97 Ack=79 Win=42496 Len=0 TSval=1450144492 TSecr=524511977"
"623","63.480244617","192.168.1.20","192.168.1.10","TCP","66","44818  >  55194 [FIN, ACK] Seq=79 Ack=98 Win=43520 Len=0 TSval=524511981 TSecr=1450144492"
"624","63.480268754","192.168.1.10","192.168.1.20","TCP","66","55194  >  44818 [ACK] Seq=98 Ack=80 Win=42496 Len=0 TSval=1450144493 TSecr=524511981"
"625","64.513495180","192.168.1.10","192.168.1.20","TCP","74","55208  >  44818 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1450145526 TSecr=0 WS=512"
"626","64.513513708","192.168.1.20","192.168.1.10","TCP","74","44818  >  55208 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=524513014 TSecr=1450145526 WS=512"
"627","64.513524703","192.168.1.10","192.168.1.20","TCP","66","55208  >  44818 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=1450145526 TSecr=524513014"
"628","64.539509984","192.168.1.10","192.168.1.20","ENIP","94","Register Session (Req), Session: 0x00000000"
"629","64.539524169","192.168.1.20","192.168.1.10","TCP","66","44818  >  55208 [ACK] Seq=1 Ack=29 Win=43520 Len=0 TSval=524513040 TSecr=1450145552"
"630","64.542616295","192.168.1.20","192.168.1.10","ENIP","94","Register Session (Rsp), Session: 0x83BC4307"
"631","64.542642808","192.168.1.10","192.168.1.20","TCP","66","55208  >  44818 [ACK] Seq=29 Ack=29 Win=42496 Len=0 TSval=1450145555 TSecr=524513043"
"632","64.543789614","192.168.1.10","192.168.1.20","CIP CM","134","Unconnected Send: 'FIT201:2' - Service (0x4c)"
