Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth3,62,2024-09-05 02:00:35.615,192.168.1.30,192.168.1.10,TCP,66,44818 → 34486 0x0011
s1-eth1,61,2024-09-05 02:00:35.615,192.168.1.30,192.168.1.10,TCP,66,44818 → 34486 0x0011
s1-eth2,61,2024-09-05 02:00:35.615,192.168.1.30,192.168.1.10,TCP,66,44818 → 34486 0x0011
s1-eth1,62,2024-09-05 02:00:35.615,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth2,62,2024-09-05 02:00:35.615,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth3,63,2024-09-05 02:00:35.615,192.168.1.10,192.168.1.30,TCP,66,34486 → 44818 0x0010
s1-eth2,63,2024-09-05 02:00:36.040,fe80::e468:5bff:fe74:f71d,ff02::2,ICMPV6,70,ICMPV6
s1-eth2,64,2024-09-05 02:00:36.552,fe80::e468:5bff:fe74:f71d,ff02::fb,MDNS,203,MDNS
s1-eth2,65,2024-09-05 02:00:36.750,192.168.1.10,192.168.1.20,TCP,74,56690 → 44818 0x0002
s1-eth3,64,2024-09-05 02:00:36.425,fe80::94d4:71ff:fe83:4a73,ff02::fb,MDNS,203,MDNS
s1-eth1,63,2024-09-05 02:00:36.679,fe80::f4ae:bbff:feac:ef84,ff02::fb,MDNS,203,MDNS
s1-eth1,64,2024-09-05 02:00:36.750,192.168.1.10,192.168.1.20,TCP,74,56690 → 44818 0x0002
s1-eth3,65,2024-09-05 02:00:36.750,192.168.1.10,192.168.1.20,TCP,74,56690 → 44818 0x0002
s1-eth2,66,2024-09-05 02:00:36.750,192.168.1.20,192.168.1.10,TCP,74,44818 → 56690 0x0012
s1-eth1,65,2024-09-05 02:00:36.750,192.168.1.20,192.168.1.10,TCP,74,44818 → 56690 0x0012
s1-eth2,67,2024-09-05 02:00:36.750,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth2,68,2024-09-05 02:00:36.777,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,66,2024-09-05 02:00:36.750,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth2,69,2024-09-05 02:00:36.777,192.168.1.20,192.168.1.10,TCP,66,44818 → 56690 0x0010
s1-eth3,66,2024-09-05 02:00:36.750,192.168.1.20,192.168.1.10,TCP,74,44818 → 56690 0x0012
s1-eth3,67,2024-09-05 02:00:36.750,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth1,67,2024-09-05 02:00:36.777,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth3,68,2024-09-05 02:00:36.777,192.168.1.10,192.168.1.20,ENIP,94,Command: 0x0065
s1-eth1,68,2024-09-05 02:00:36.777,192.168.1.20,192.168.1.10,TCP,66,44818 → 56690 0x0010
s1-eth3,69,2024-09-05 02:00:36.777,192.168.1.20,192.168.1.10,TCP,66,44818 → 56690 0x0010
s1-eth2,70,2024-09-05 02:00:36.781,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,69,2024-09-05 02:00:36.781,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth2,71,2024-09-05 02:00:36.781,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth2,72,2024-09-05 02:00:36.782,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,70,2024-09-05 02:00:36.781,192.168.1.20,192.168.1.10,ENIP,94,Command: 0x0065
s1-eth1,70,2024-09-05 02:00:36.781,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth3,71,2024-09-05 02:00:36.781,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth1,71,2024-09-05 02:00:36.782,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth3,72,2024-09-05 02:00:36.782,192.168.1.10,192.168.1.20,CIPCM,134,Command: 0x006f
s1-eth2,73,2024-09-05 02:00:36.796,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth1,72,2024-09-05 02:00:36.796,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth3,73,2024-09-05 02:00:36.796,192.168.1.20,192.168.1.10,CIPCM,116,Command: 0x006f
s1-eth2,74,2024-09-05 02:00:36.800,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0011
s1-eth2,75,2024-09-05 02:00:36.801,192.168.1.20,192.168.1.10,TCP,66,44818 → 56690 0x0011
s1-eth1,73,2024-09-05 02:00:36.800,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0011
s1-eth3,74,2024-09-05 02:00:36.800,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0011
s1-eth1,74,2024-09-05 02:00:36.801,192.168.1.20,192.168.1.10,TCP,66,44818 → 56690 0x0011
s1-eth3,75,2024-09-05 02:00:36.801,192.168.1.20,192.168.1.10,TCP,66,44818 → 56690 0x0011
s1-eth2,76,2024-09-05 02:00:36.801,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth3,76,2024-09-05 02:00:36.801,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth1,75,2024-09-05 02:00:36.801,192.168.1.10,192.168.1.20,TCP,66,56690 → 44818 0x0010
s1-eth2,77,2024-09-05 02:00:37.067,192.168.1.10,192.168.1.30,TCP,74,34494 → 44818 0x0002
s1-eth2,78,2024-09-05 02:00:37.067,192.168.1.30,192.168.1.10,TCP,74,44818 → 34494 0x0012
s1-eth3,77,2024-09-05 02:00:37.067,192.168.1.10,192.168.1.30,TCP,74,34494 → 44818 0x0002
s1-eth1,76,2024-09-05 02:00:37.067,192.168.1.10,192.168.1.30,TCP,74,34494 → 44818 0x0002
s1-eth3,78,2024-09-05 02:00:37.067,192.168.1.30,192.168.1.10,TCP,74,44818 → 34494 0x0012
s1-eth1,77,2024-09-05 02:00:37.067,192.168.1.30,192.168.1.10,TCP,74,44818 → 34494 0x0012
s1-eth2,79,2024-09-05 02:00:37.067,192.168.1.10,192.168.1.30,TCP,66,34494 → 44818 0x0010
s1-eth3,79,2024-09-05 02:00:37.067,192.168.1.10,192.168.1.30,TCP,66,34494 → 44818 0x0010
s1-eth2,80,2024-09-05 02:00:37.096,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
s1-eth3,80,2024-09-05 02:00:37.096,192.168.1.10,192.168.1.30,ENIP,94,Command: 0x0065
