Interface,No.,Time,Source,Destination,Protocol,Length,Info
s1-eth3,100,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32484 → 80 0x0002
s1-eth3,101,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32484 0x0014
s1-eth3,102,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32485 → 80 0x0002
s1-eth2,89,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,35001 → 80 0x0002
s1-eth2,90,2024-09-04 05:59:27.059,192.168.1.10,192.168.1.77,TCP,54,80 → 35001 0x0014
s1-eth2,91,2024-09-04 05:59:27.059,192.168.1.77,192.168.1.10,TCP,54,35002 → 80 0x0002
s1-eth2,92,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35002 0x0014
s1-eth2,93,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35003 → 80 0x0002
s1-eth1,84,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35660 0x0014
s1-eth1,85,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35661 → 80 0x0002
s1-eth3,103,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32485 0x0014
s1-eth2,94,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35003 0x0014
s1-eth1,86,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35661 0x0014
s1-eth1,87,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35662 → 80 0x0002
s1-eth1,88,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35662 0x0014
s1-eth1,89,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35663 → 80 0x0002
s1-eth1,90,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35663 0x0014
s1-eth1,91,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35664 → 80 0x0002
s1-eth1,92,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35664 0x0014
s1-eth1,93,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35665 → 80 0x0002
s1-eth3,104,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32486 → 80 0x0002
s1-eth3,105,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32486 0x0014
s1-eth3,106,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32487 → 80 0x0002
s1-eth2,95,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35004 → 80 0x0002
s1-eth2,96,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35004 0x0014
s1-eth2,97,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35005 → 80 0x0002
s1-eth2,98,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35005 0x0014
s1-eth1,94,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35665 0x0014
s1-eth1,95,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35666 → 80 0x0002
s1-eth1,96,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35666 0x0014
s1-eth3,107,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32487 0x0014
s1-eth3,108,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32488 → 80 0x0002
s1-eth3,109,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32488 0x0014
s1-eth3,110,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32489 → 80 0x0002
s1-eth3,111,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32489 0x0014
s1-eth2,99,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35006 → 80 0x0002
s1-eth2,100,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35006 0x0014
s1-eth2,101,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35007 → 80 0x0002
s1-eth2,102,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35007 0x0014
s1-eth1,97,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35667 → 80 0x0002
s1-eth3,112,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32490 → 80 0x0002
s1-eth2,103,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35008 → 80 0x0002
s1-eth2,104,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35008 0x0014
s1-eth2,105,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35009 → 80 0x0002
s1-eth1,98,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35667 0x0014
s1-eth1,99,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35668 → 80 0x0002
s1-eth1,100,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35668 0x0014
s1-eth1,101,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35669 → 80 0x0002
s1-eth1,102,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35669 0x0014
s1-eth1,103,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35670 → 80 0x0002
s1-eth3,113,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32490 0x0014
s1-eth3,114,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32491 → 80 0x0002
s1-eth3,115,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32491 0x0014
s1-eth3,116,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32492 → 80 0x0002
s1-eth2,106,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35009 0x0014
s1-eth2,107,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35010 → 80 0x0002
s1-eth2,108,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35010 0x0014
s1-eth2,109,2024-09-04 05:59:27.060,192.168.1.77,192.168.1.10,TCP,54,35011 → 80 0x0002
s1-eth1,104,2024-09-04 05:59:27.070,192.168.1.10,192.168.1.77,TCP,54,80 → 35670 0x0014
s1-eth1,105,2024-09-04 05:59:27.070,192.168.1.77,192.168.1.10,TCP,54,35671 → 80 0x0002
s1-eth3,117,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32492 0x0014
s1-eth3,118,2024-09-04 05:59:27.030,192.168.1.77,192.168.1.10,TCP,54,32493 → 80 0x0002
s1-eth3,119,2024-09-04 05:59:27.030,192.168.1.10,192.168.1.77,TCP,54,80 → 32493 0x0014
s1-eth2,110,2024-09-04 05:59:27.060,192.168.1.10,192.168.1.77,TCP,54,80 → 35011 0x0014
